file_num,location,latitude,longitude,budget_usd,roof_area_m2,roof_length_m,roof_breadth_m,rate_plan,panel_brand,num_evs,num_people,num_daytime_occupants
56,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,3,2
57,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,1,0
58,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,1,1
59,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,2,0
60,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,2,1
61,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,2,2
62,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,3,0
63,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,3,1
64,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,1,3,2
65,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,1,0
66,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,1,1
67,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,2,0
68,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,2,1
69,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,2,2
70,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,3,0
71,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,3,1
72,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,2,3,2
