file_num,location,latitude,longitude,budget_usd,roof_area_m2,roof_length_m,roof_breadth_m,rate_plan,panel_brand,num_evs,num_people,num_daytime_occupants
1,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,1,0
2,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,1,1
3,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,2,0
4,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,2,1
5,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,2,2
6,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,3,0
7,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,3,1
8,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,0,3,2
9,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,1,0
10,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,1,1
11,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,2,0
12,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,2,1
13,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,2,2
14,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,3,0
15,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,3,1
16,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,1,3,2
17,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,1,0
18,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,1,1
19,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,2,0
20,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,2,1
21,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,2,2
22,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,3,0
23,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,3,1
24,La_Jolla,32.8328,-117.2713,25000,50,8,6.25,TOU_DR,None ,2,3,2
25,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,1,0
26,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,1,1
27,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,2,0
28,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,2,1
29,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,2,2
30,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,3,0
31,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,3,1
32,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,0,3,2
33,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,1,0
34,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,1,1
35,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,2,0
36,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,2,1
37,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,2,2
38,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,3,0
39,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,3,1
40,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,1,3,2
41,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,1,0
42,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,1,1
43,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,2,0
44,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,2,1
45,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,2,2
46,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,3,0
47,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,3,1
48,Oceanside,33.1959,-117.3795,25000,50,8,6.25,TOU_DR,None ,2,3,2
49,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,1,0
50,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,1,1
51,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,2,0
52,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,2,1
53,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,2,2
54,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,3,0
55,Coronado,32.6859,-117.1831,25000,50,8,6.25,TOU_DR,None ,0,3,1
